Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
Q9JI39,ABCBA_MOUSE,Abcb10,"ATP-binding cassette sub-family B member 10, mitochondrial",9.78028E+06,1.22014E+07,1.09179E+07,1.36309E+07,1.41655E+07,1.49605E+07,1.35726E+07,9.85917E+06,1.00676E+07,1.63682E+07,1.54254E+07,1.60348E+07,
Q99LI5,ZN281_MOUSE,Znf281,Zinc finger protein 281,5.98886E+06,5.04779E+06,5.92515E+06,3.42162E+06,3.62493E+06,3.87875E+06,5.13882E+06,6.51554E+06,3.9724E+06,4.41917E+06,4.63858E+06,4.06904E+06,
Q8C754,VPS52_MOUSE,Vps52,Vacuolar protein sorting-associated protein 52 homolog,1.95413E+07,1.96394E+07,1.68102E+07,1.14686E+07,,1.14889E+07,1.92382E+07,1.58975E+07,1.76555E+07,1.32949E+07,1.4291E+07,1.48577E+07,
Q9Z1Z0,USO1_MOUSE,Uso1,General vesicular transport factor p115,1.55114E+07,1.73956E+07,1.76663E+07,1.39079E+07,1.15173E+07,1.18208E+07,1.93289E+07,1.74066E+07,1.62916E+07,1.66063E+07,1.53352E+07,1.52414E+07,
Q91X84,CRTC3_MOUSE,Crtc3,CREB-regulated transcription coactivator 3,7.08953E+06,6.28877E+06,7.52578E+06,5.12721E+06,4.24292E+06,5.84418E+06,9.0946E+06,7.02736E+06,7.135E+06,7.7774E+06,7.40626E+06,6.35533E+06,
A2AM29,AF9_MOUSE,Mllt3,Protein AF-9,9.56683E+06,1.05893E+07,1.10912E+07,8.39918E+06,1.0566E+07,7.20244E+06,1.0516E+07,1.20788E+07,1.03808E+07,1.58117E+07,1.20056E+07,1.32994E+07,
Q99J47,DRS7B_MOUSE,Dhrs7b,Dehydrogenase/reductase SDR family member 7B,1.03819E+07,1.1025E+07,1.17963E+07,7.75933E+06,6.77817E+06,8.83356E+06,1.19293E+07,9.24041E+06,1.10069E+07,1.03777E+07,9.82187E+06,1.20062E+07,
Q6ZPY2,SMG5_MOUSE,Smg5,Nonsense-mediated mRNA decay factor SMG5,1.12506E+07,1.18E+07,1.33768E+07,6.49857E+06,,5.95672E+06,1.10448E+07,1.15088E+07,1.17109E+07,8.33752E+06,8.4998E+06,7.29725E+06,
Q6PB93,GALT2_MOUSE,Galnt2,Polypeptide N-acetylgalactosaminyltransferase 2,9.08963E+07,9.84463E+07,8.87725E+07,7.28136E+07,6.43511E+07,6.44393E+07,8.77881E+07,9.21553E+07,8.39182E+07,8.57506E+07,8.95779E+07,7.63416E+07,
Q80U38,KHNYN_MOUSE,Khnyn,Protein KHNYN,6.6186E+06,6.94692E+06,6.69213E+06,9.19662E+06,,8.88184E+06,7.92485E+06,7.79108E+06,7.38748E+06,9.96802E+06,1.08648E+07,1.01049E+07,
L0N7N1,KIF14_MOUSE,Kif14,Kinesin-like protein KIF14,5.7216E+06,4.76608E+06,6.28086E+06,4.63813E+06,,4.55814E+06,4.97864E+06,5.37285E+06,4.37482E+06,5.18454E+06,4.87142E+06,4.9955E+06,
Q80U93,NU214_MOUSE,Nup214,Nuclear pore complex protein Nup214,2.22161E+07,2.14314E+07,2.21863E+07,2.45082E+07,2.45011E+07,2.30306E+07,2.15583E+07,2.17615E+07,2.27732E+07,2.6026E+07,2.83901E+07,2.66021E+07,
Q8K368,FANCI_MOUSE,Fanci,Fanconi anemia group I protein homolog,9.65877E+06,9.35543E+06,1.01028E+07,6.57208E+06,5.34447E+06,5.87636E+06,9.5227E+06,8.99756E+06,8.06189E+06,7.68474E+06,7.23814E+06,8.81197E+06,
Q60648,SAP3_MOUSE,Gm2a,Ganglioside GM2 activator,834832,854896,688856,870205,984701,1.06368E+06,929162,810354,781732,1.18957E+06,1.17348E+06,1.27425E+06,
Q9WTJ4,FIZ1_MOUSE,Fiz1,Flt3-interacting zinc finger protein 1,6.42724E+06,7.05229E+06,7.58485E+06,8.47672E+06,7.93768E+06,8.79211E+06,7.50299E+06,8.6365E+06,8.47429E+06,7.70208E+06,6.90348E+06,7.27849E+06,
Q8R5M0,GIPC3_MOUSE,Gipc3,PDZ domain-containing protein GIPC3,1.05937E+07,8.41444E+06,6.07381E+06,1.45105E+07,1.98193E+07,1.41964E+07,9.81261E+06,4.23452E+06,7.68003E+06,6.54937E+06,6.82064E+06,1.14121E+07,
P28352,APEX1_MOUSE,Apex1,DNA-(apurinic or apyrimidinic site) endonuclease,5.07775E+07,5.35483E+07,6.43288E+07,7.99322E+07,7.88063E+07,7.29101E+07,5.51314E+07,5.82541E+07,5.3699E+07,6.54992E+07,6.94699E+07,6.9363E+07,
Q9D8X2,CC124_MOUSE,Ccdc124,Coiled-coil domain-containing protein 124,9.59723E+07,8.90353E+07,7.16482E+07,7.06008E+07,7.3419E+07,7.32139E+07,8.06405E+07,7.6067E+07,6.99494E+07,9.59165E+07,9.5893E+07,8.41544E+07,
Q5EG47,AAPK1_MOUSE,Prkaa1,5'-AMP-activated protein kinase catalytic subunit alpha-1,5.12387E+07,4.9286E+07,4.73809E+07,4.48627E+07,3.82344E+07,3.37957E+07,4.53004E+07,4.96086E+07,4.64069E+07,5.29317E+07,5.54483E+07,4.98711E+07,
Q9R0Q9,MPU1_MOUSE,Mpdu1,Mannose-P-dolichol utilization defect 1 protein,4.60956E+06,3.33701E+06,3.42852E+06,3.56671E+06,3.24402E+06,2.93715E+06,4.03847E+06,4.30658E+06,3.41607E+06,4.21103E+06,3.99017E+06,3.80754E+06,
O88888,APBA3_MOUSE,Apba3,Amyloid-beta A4 precursor protein-binding family A member 3,4.77134E+06,2.49566E+06,3.25963E+06,5.01971E+06,,4.28892E+06,8.29896E+06,5.15279E+06,5.16482E+06,8.71523E+06,7.61643E+06,6.4299E+06,
Q9ET26,RN114_MOUSE,Rnf114,E3 ubiquitin-protein ligase RNF114,2.17255E+07,2.33227E+07,1.69296E+07,1.74667E+07,1.72805E+07,2.13399E+07,2.40892E+07,1.95241E+07,1.99426E+07,2.43485E+07,2.44726E+07,2.57453E+07,
Q5SSZ5,TENS3_MOUSE,Tns3,Tensin-3,3.25264E+06,2.57467E+06,3.09479E+06,6.11095E+06,5.68245E+06,8.73911E+06,3.32044E+06,4.35057E+06,3.9033E+06,1.02488E+07,1.5439E+07,1.38147E+07,
Q6NZQ2,DDX31_MOUSE,Ddx31,Probable ATP-dependent RNA helicase DDX31,2.15483E+07,2.80217E+07,2.52478E+07,1.23198E+07,1.63167E+07,1.55493E+07,3.15937E+07,2.36881E+07,2.61262E+07,2.44289E+07,2.00954E+07,1.93641E+07,
Q5U4E2,REPI1_MOUSE,Repin1,Replication initiator 1,2.29108E+06,2.18906E+06,2.26232E+06,1.79068E+06,,1.73933E+06,2.35307E+06,2.00408E+06,2.18269E+06,1.38435E+06,1.20224E+06,980132,
Q9DBS1,TMM43_MOUSE,Tmem43,Transmembrane protein 43,1.20432E+07,1.2384E+07,1.28322E+07,1.14687E+07,1.28112E+07,1.41648E+07,1.40328E+07,1.15958E+07,1.17981E+07,1.73015E+07,1.49014E+07,1.79874E+07,
A2ALW5,DJC25_MOUSE,Dnajc25,DnaJ homolog subfamily C member 25,8.03243E+06,4.55307E+06,7.06461E+06,3.41316E+06,,3.59584E+06,4.58581E+06,5.35304E+06,6.3092E+06,5.04183E+06,4.30463E+06,5.27778E+06,
Q8R2T8,TF3C5_MOUSE,Gtf3c5,General transcription factor 3C polypeptide 5,2.35477E+07,2.18176E+07,2.38381E+07,1.8943E+07,1.9394E+07,2.26515E+07,3.20837E+07,2.49766E+07,2.56877E+07,2.5703E+07,2.62048E+07,2.3403E+07,
Q8CC21,TTC19_MOUSE,Ttc19,"Tetratricopeptide repeat protein 19, mitochondrial",7.94939E+06,5.77164E+06,7.14286E+06,1.48702E+07,,1.52448E+07,,9.59032E+06,6.08591E+06,6.76301E+06,7.26292E+06,1.09638E+07,
P0CG15,CTF8_MOUSE,Chtf8,Chromosome transmission fidelity protein 8 homolog,45903.1,23785.4,40607.9,13620.9,,27333.1,35522,43049.7,21919.7,58537.4,47361.2,74554.5,
P27046,MA2A1_MOUSE,Man2a1,Alpha-mannosidase 2,1.2667E+07,1.12321E+07,1.50109E+07,5.80382E+06,6.4483E+06,5.83213E+06,1.12693E+07,1.61088E+07,1.17577E+07,7.03785E+06,6.66068E+06,7.53546E+06,
P21278,GNA11_MOUSE,Gna11,Guanine nucleotide-binding protein subunit alpha-11,1.2693E+07,1.35027E+07,1.37575E+07,1.74644E+07,,1.81964E+07,1.40189E+07,1.33004E+07,1.26981E+07,1.39761E+07,1.32555E+07,1.59074E+07,
Q8C267,SETB2_MOUSE,Setdb2,Histone-lysine N-methyltransferase SETDB2,5.70789E+06,6.55837E+06,7.10733E+06,7.71111E+06,,7.54918E+06,6.10822E+06,7.48749E+06,5.79831E+06,8.90423E+06,8.34971E+06,8.27367E+06,
Q8C3R1,BRAT1_MOUSE,Brat1,BRCA1-associated ATM activator 1,5.5163E+06,5.79965E+06,6.11356E+06,4.42969E+06,,4.68784E+06,5.06629E+06,5.37586E+06,4.68686E+06,5.57772E+06,5.31276E+06,5.51054E+06,
Q8R2U0,SEH1_MOUSE,Seh1l,Nucleoporin SEH1,1.48228E+07,1.31681E+07,1.3951E+07,1.22766E+07,1.26109E+07,1.24023E+07,1.57793E+07,1.42448E+07,1.39235E+07,1.58711E+07,1.77566E+07,1.52108E+07,
Q64343,ABCG1_MOUSE,Abcg1,ATP-binding cassette sub-family G member 1,8.04164E+06,1.30573E+07,1.59267E+07,5.55746E+06,,4.84841E+06,1.19435E+07,1.31032E+07,1.23271E+07,9.56458E+06,7.34578E+06,7.65766E+06,
Q9CPT5,NOP16_MOUSE,Nop16,Nucleolar protein 16,1.21806E+07,8.1746E+06,1.05139E+07,7.00665E+06,9.51971E+06,7.31556E+06,1.09419E+07,1.20538E+07,1.13846E+07,1.03982E+07,1.07993E+07,1.27515E+07,
A2AWP8,ARGAL_MOUSE,Arhgef10l,Rho guanine nucleotide exchange factor 10-like protein,8.11569E+06,9.4461E+06,7.64446E+06,1.48061E+07,1.04307E+07,9.77325E+06,8.35187E+06,1.01867E+07,8.09662E+06,1.85375E+07,1.57432E+07,2.01222E+07,
Q8K3W3,CASC3_MOUSE,Casc3,Protein CASC3,3.43807E+07,3.11055E+07,3.08311E+07,2.80766E+07,,2.74603E+07,3.23923E+07,2.59099E+07,2.67845E+07,3.38232E+07,3.15932E+07,3.06618E+07,
O88738,BIRC6_MOUSE,Birc6,Baculoviral IAP repeat-containing protein 6,7.27275E+07,7.36507E+07,6.89036E+07,5.26701E+07,5.22858E+07,5.01246E+07,7.51464E+07,7.19532E+07,7.32242E+07,5.94748E+07,5.65872E+07,5.49414E+07,
Q9QYR9,ACOT2_MOUSE,Acot2,"Acyl-coenzyme A thioesterase 2, mitochondrial",1.62961E+07,1.34324E+07,1.41949E+07,2.03067E+07,1.97136E+07,2.44257E+07,1.5653E+07,1.59009E+07,1.42757E+07,3.20399E+07,2.55631E+07,2.99578E+07,
Q6ZWV7,RL35_MOUSE,Rpl35,60S ribosomal protein L35,2.23554E+06,2.94911E+06,3.58244E+06,1.46547E+06,1.33676E+06,1.4417E+06,3.59437E+06,2.52463E+06,3.37321E+06,2.23919E+06,1.78201E+06,2.0183E+06,
Q80UU1,ANKZ1_MOUSE,Ankzf1,Ankyrin repeat and zinc finger domain-containing protein 1,3.49328E+07,3.51343E+07,3.43083E+07,3.28855E+07,3.14264E+07,3.03801E+07,4.05126E+07,3.56622E+07,3.52155E+07,3.54063E+07,3.65938E+07,3.35419E+07,
Q6PAL7,AHDC1_MOUSE,Ahdc1,Transcription factor Gibbin,1.17379E+07,1.10374E+07,1.27102E+07,1.07787E+07,8.80633E+06,1.0439E+07,1.14641E+07,1.26391E+07,1.12906E+07,1.27395E+07,1.32699E+07,1.15214E+07,
Q8R323,RFC3_MOUSE,Rfc3,Replication factor C subunit 3,1.93973E+07,1.8924E+07,1.84664E+07,1.4219E+07,1.39778E+07,1.6218E+07,1.94466E+07,1.96353E+07,1.85884E+07,1.65359E+07,1.88764E+07,1.91227E+07,
Q8K0Q5,RHG18_MOUSE,Arhgap18,Rho GTPase-activating protein 18,1.10879E+07,1.17828E+07,1.14074E+07,1.25473E+07,1.18121E+07,1.17701E+07,1.28292E+07,1.0613E+07,1.14075E+07,1.36769E+07,1.55028E+07,1.59592E+07,
Q9DAM5,TPC_MOUSE,Slc25a19,Mitochondrial thiamine pyrophosphate carrier,4.09652E+06,3.52153E+06,4.47817E+06,3.88845E+06,5.53327E+06,4.79141E+06,3.47252E+06,4.25435E+06,2.43007E+06,7.40255E+06,6.60554E+06,6.00656E+06,
P70333,HNRH2_MOUSE,Hnrnph2,Heterogeneous nuclear ribonucleoprotein H2,1.59812E+07,1.76795E+07,1.58295E+07,2.16326E+07,1.6593E+07,2.11907E+07,2.90187E+07,2.16085E+07,2.58166E+07,2.47576E+07,2.78652E+07,2.59814E+07,
Q3U3Q1,ULK3_MOUSE,Ulk3,Serine/threonine-protein kinase ULK3,4.46407E+06,3.80321E+06,3.5823E+06,3.01162E+06,,3.45587E+06,3.40621E+06,3.6348E+06,3.00287E+06,4.99691E+06,4.53851E+06,4.76651E+06,
Q7SIG6,ASAP2_MOUSE,Asap2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",1.65577E+07,1.60887E+07,1.72007E+07,1.59979E+07,1.54784E+07,1.73517E+07,1.4791E+07,1.42199E+07,1.57316E+07,1.90596E+07,1.84767E+07,1.83527E+07,
Q99J87,DHX58_MOUSE,Dhx58,ATP-dependent RNA helicase DHX58,1.15519E+07,1.21142E+07,1.29706E+07,1.4607E+07,1.53817E+07,1.79149E+07,2.27903E+07,1.59617E+07,1.90862E+07,2.1489E+07,1.84148E+07,2.031E+07,
Q5RJH6,SMG7_MOUSE,Smg7,Nonsense-mediated mRNA decay factor SMG7,9.58798E+06,1.08031E+07,9.55494E+06,9.06407E+06,1.01703E+07,9.39603E+06,1.09024E+07,8.59592E+06,9.63008E+06,7.67776E+06,7.97242E+06,8.76846E+06,
Q8VEJ9,VPS4A_MOUSE,Vps4a,Vacuolar protein sorting-associated protein 4A,9.64762E+06,9.59081E+06,7.86609E+06,9.72944E+06,8.56964E+06,1.07479E+07,1.30735E+07,9.30802E+06,1.09601E+07,1.13418E+07,1.26731E+07,1.38473E+07,
P51881,ADT2_MOUSE,Slc25a5,ADP/ATP translocase 2,8.28096E+07,6.61812E+07,8.16216E+07,7.61973E+07,8.61342E+07,8.62124E+07,1.01023E+08,1.03168E+08,1.18435E+08,1.12687E+08,1.02023E+08,9.47463E+07,
Q6PE65,GPT2L_MOUSE,Gpatch2l,G patch domain-containing protein 2-like,4.50527E+06,1.6379E+06,3.09773E+06,3.39291E+06,,3.59066E+06,3.10652E+06,4.24388E+06,2.78873E+06,2.02692E+06,,1.99877E+06,
Q0MW30,NEU1B_MOUSE,Neurl1b,E3 ubiquitin-protein ligase NEURL1B,634735,824145,,1.91668E+06,,1.7675E+06,2.0139E+06,523733,1.5473E+06,866418,,902707,
Q9D1H6,NDUF4_MOUSE,Ndufaf4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,1.27257E+07,9.9324E+06,1.08867E+07,1.27617E+07,1.30246E+07,1.14984E+07,1.07977E+07,1.22349E+07,9.70873E+06,1.47678E+07,1.4196E+07,1.38702E+07,
P11930,NUD19_MOUSE,Nudt19,Acyl-coenzyme A diphosphatase NUDT19,1.50606E+07,1.38046E+07,1.41348E+07,1.08506E+07,,9.89123E+06,1.38771E+07,1.40998E+07,1.23496E+07,8.00671E+06,6.86517E+06,7.76153E+06,
Q9CXY1,TM175_MOUSE,Tmem175,Endosomal/lysosomal proton channel TMEM175,8.96931E+06,1.00101E+07,8.56514E+06,1.44241E+07,,1.61367E+07,7.74653E+06,7.20827E+06,1.08436E+07,8.50152E+06,1.00543E+07,1.00107E+07,
P27870,VAV_MOUSE,Vav1,Proto-oncogene vav,4.60869E+07,4.81146E+07,4.66747E+07,4.73673E+07,4.31279E+07,4.49092E+07,5.28241E+07,4.25386E+07,5.17026E+07,6.23419E+07,5.33931E+07,5.42966E+07,
Q7TMV3,FAKD5_MOUSE,Fastkd5,"FAST kinase domain-containing protein 5, mitochondrial",1.17571E+07,6.15945E+06,5.76698E+06,8.83872E+06,6.47448E+06,6.81648E+06,9.89596E+06,1.03089E+07,1.10979E+07,1.06501E+07,1.19711E+07,9.24791E+06,
Q925J9,MED1_MOUSE,Med1,Mediator of RNA polymerase II transcription subunit 1,2.03125E+07,2.09559E+07,2.14522E+07,1.89585E+07,1.91756E+07,2.07207E+07,2.08915E+07,2.04727E+07,2.03171E+07,1.74116E+07,1.76882E+07,1.69353E+07,
P35278,RAB5C_MOUSE,Rab5c,Ras-related protein Rab-5C,4.47552E+07,4.77271E+07,5.84509E+07,2.33923E+07,3.07018E+07,2.16429E+07,3.4689E+07,4.61542E+07,4.68502E+07,4.24257E+07,4.06113E+07,3.17616E+07,
Q9CXI0,COQ5_MOUSE,Coq5,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",1.77123E+07,1.55017E+07,1.71703E+07,1.93914E+07,1.5988E+07,1.83601E+07,1.62373E+07,1.68392E+07,1.41758E+07,2.33736E+07,2.19846E+07,2.03728E+07,
E9Q2M9,WDFY4_MOUSE,Wdfy4,WD repeat- and FYVE domain-containing protein 4,3.79693E+07,3.80114E+07,3.35018E+07,2.8239E+07,3.33655E+07,3.01739E+07,3.89678E+07,4.44588E+07,4.25846E+07,4.41663E+07,3.90164E+07,3.59424E+07,
Q6NVF0,OCRL_MOUSE,Ocrl,Inositol polyphosphate 5-phosphatase OCRL,7.63821E+06,6.80012E+06,7.74751E+06,8.3613E+06,7.72383E+06,8.84654E+06,7.7464E+06,8.4968E+06,8.66796E+06,9.89695E+06,1.07355E+07,9.24711E+06,
P19783,COX41_MOUSE,Cox4i1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",3.43066E+07,3.48838E+07,3.59405E+07,4.62066E+07,4.74781E+07,4.6257E+07,3.96348E+07,3.54198E+07,3.88604E+07,5.2612E+07,4.95877E+07,4.9674E+07,
P62900,RL31_MOUSE,Rpl31,60S ribosomal protein L31,1.47303E+07,1.43937E+07,1.70547E+07,5.96229E+06,1.11026E+07,8.25995E+06,1.76138E+07,1.6169E+07,1.25464E+07,1.64284E+07,1.17172E+07,1.6673E+07,
Q8CE50,SNX30_MOUSE,Snx30,Sorting nexin-30,1.31466E+07,1.02984E+07,1.0999E+07,1.33504E+07,1.26398E+07,1.34395E+07,7.71435E+06,1.07417E+07,1.00215E+07,1.43219E+07,1.43589E+07,1.43272E+07,
P35689,ERCC5_MOUSE,Ercc5,DNA excision repair protein ERCC-5,1.31414E+06,1.39485E+06,1.20503E+06,957772,,1.01416E+06,2.13339E+06,1.75852E+06,1.52085E+06,1.45819E+06,1.32176E+06,1.72473E+06,
Q6ZPV2,INO80_MOUSE,Ino80,Chromatin-remodeling ATPase INO80,2.23488E+07,2.13178E+07,2.50893E+07,1.70486E+07,,1.84397E+07,2.51673E+07,2.74398E+07,2.09886E+07,2.43346E+07,2.68504E+07,2.13228E+07,
Q9QXA5,LSM4_MOUSE,Lsm4,U6 snRNA-associated Sm-like protein LSm4,4.05059E+06,7.24993E+06,5.41181E+06,7.41265E+06,5.93509E+06,8.00746E+06,8.71835E+06,4.16539E+06,9.42418E+06,9.68277E+06,8.61979E+06,1.08133E+07,
Q61026,NCOA2_MOUSE,Ncoa2,Nuclear receptor coactivator 2,1.77858E+07,1.79927E+07,1.75806E+07,1.77707E+07,2.0172E+07,1.92885E+07,1.93878E+07,1.81453E+07,1.84361E+07,2.12389E+07,2.26161E+07,2.12327E+07,
Q64318,ZEB1_MOUSE,Zeb1,Zinc finger E-box-binding homeobox 1,5.72524E+06,5.00995E+06,8.81125E+06,5.16439E+06,4.54018E+06,4.64261E+06,4.77384E+06,7.18532E+06,4.66632E+06,7.70879E+06,8.56741E+06,6.30972E+06,
Q3U182,CRTC2_MOUSE,Crtc2,CREB-regulated transcription coactivator 2,1.53658E+07,1.89822E+07,1.82828E+07,9.12336E+06,1.4133E+07,8.37274E+06,2.00479E+07,2.70439E+07,1.88645E+07,1.81718E+07,2.01325E+07,1.46055E+07,
Q3UV17,K22O_MOUSE,Krt76,"Keratin, type II cytoskeletal 2 oral",1.75712E+07,1.48795E+07,5.13698E+06,2.06144E+07,1.07492E+07,1.96161E+07,2.86885E+06,1.11224E+07,5.7303E+06,1.94838E+06,1.0351E+07,2.43679E+06,
P18155,MTDC_MOUSE,Mthfd2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",3.58023E+07,3.02375E+07,3.89065E+07,1.23866E+07,1.52156E+07,1.55589E+07,3.69762E+07,3.91321E+07,3.20675E+07,9.70709E+06,1.20619E+07,8.12896E+06,
Q8BZN6,DOC10_MOUSE,Dock10,Dedicator of cytokinesis protein 10,9.71824E+06,1.08967E+07,1.11141E+07,1.06545E+07,1.20704E+07,1.08216E+07,1.32358E+07,1.17154E+07,1.22985E+07,1.37014E+07,1.24606E+07,1.25792E+07,
Q9WU40,MAN1_MOUSE,Lemd3,Inner nuclear membrane protein Man1,1.59654E+07,1.65454E+07,1.82072E+07,1.39308E+07,1.07161E+07,1.19503E+07,1.71986E+07,1.60489E+07,1.61585E+07,1.64548E+07,1.44681E+07,1.60325E+07,
Q9CYI4,LUC7L_MOUSE,Luc7l,Putative RNA-binding protein Luc7-like 1,1.32556E+07,1.83807E+07,1.53464E+07,1.306E+07,1.531E+07,1.42322E+07,2.12592E+07,1.43907E+07,1.69464E+07,1.57989E+07,1.66889E+07,1.80118E+07,
Q8C4X2,KC1G3_MOUSE,Csnk1g3,Casein kinase I isoform gamma-3,1.39652E+07,1.41867E+07,1.42318E+07,1.21716E+07,6.96702E+06,7.8227E+06,1.10313E+07,1.35905E+07,1.0194E+07,1.24425E+07,1.68564E+07,1.61055E+07,
Q9D0M0,EXOS7_MOUSE,Exosc7,Exosome complex exonuclease RRP42,4.50984E+06,5.61916E+06,4.82904E+06,5.07534E+06,4.6653E+06,6.24187E+06,6.98621E+06,5.63487E+06,6.26268E+06,7.2848E+06,7.31212E+06,9.50707E+06,
Q80ZI6,LRSM1_MOUSE,Lrsam1,E3 ubiquitin-protein ligase LRSAM1,955225,847069,1.36071E+06,1.66758E+06,,1.72829E+06,1.08963E+06,905883,990628,1.01767E+06,1.01291E+06,1.40547E+06,
P61226,RAP2B_MOUSE,Rap2b,Ras-related protein Rap-2b,2.06444E+07,1.91783E+07,2.09803E+07,1.92985E+07,2.14736E+07,1.83188E+07,1.56845E+07,1.66688E+07,1.53576E+07,2.19475E+07,2.62112E+07,2.50797E+07,
Q9WU62,INCE_MOUSE,Incenp,Inner centromere protein,1.46238E+07,1.59335E+07,1.87605E+07,7.05791E+06,,6.97384E+06,1.86509E+07,1.26485E+07,1.44039E+07,9.58927E+06,8.20554E+06,9.68868E+06,
Q8BIF0,C99L2_MOUSE,Cd99l2,CD99 antigen-like protein 2,5.6254E+06,5.22018E+06,6.26811E+06,1.00316E+07,9.73878E+06,9.77664E+06,3.58719E+06,5.88857E+06,7.7783E+06,5.35355E+06,7.88451E+06,6.60186E+06,
Q80ZD3,S2611_MOUSE,Slc26a11,Sodium-independent sulfate anion transporter,3.03229E+06,3.978E+06,4.54135E+06,5.30408E+06,3.65707E+06,6.2749E+06,,2.76826E+06,3.36493E+06,7.54846E+06,7.15665E+06,8.91622E+06,
Q2YDW2,MSTO1_MOUSE,Msto1,Protein misato homolog 1,2.31421E+07,2.38412E+07,2.29611E+07,1.37868E+07,1.18612E+07,1.50056E+07,2.30919E+07,2.05838E+07,2.09222E+07,1.76096E+07,1.7077E+07,1.76554E+07,
Q8BWY4,MBLC1_MOUSE,Mblac1,Metallo-beta-lactamase domain-containing protein 1,2.86329E+06,2.07323E+06,2.41034E+06,3.19592E+06,,2.99488E+06,2.1521E+06,2.27625E+06,1.9433E+06,2.34774E+06,2.78172E+06,2.56231E+06,
Q8VDD9,PHIP_MOUSE,Phip,PH-interacting protein,2.45513E+07,2.78533E+07,2.65058E+07,1.93458E+07,2.04592E+07,2.0266E+07,2.97151E+07,2.36232E+07,2.85631E+07,2.74652E+07,2.53341E+07,2.30318E+07,
O35099,M3K5_MOUSE,Map3k5,Mitogen-activated protein kinase kinase kinase 5,8.32838E+06,7.66502E+06,7.6207E+06,5.32033E+06,6.18965E+06,4.92587E+06,7.15159E+06,6.69933E+06,7.32262E+06,6.93896E+06,6.82231E+06,7.19518E+06,
Q9R1P1,PSB3_MOUSE,Psmb3,Proteasome subunit beta type-3,4.57218E+07,5.24363E+07,4.67644E+07,5.32745E+07,5.37891E+07,4.73738E+07,4.33656E+07,6.00994E+07,3.94643E+07,5.67284E+07,6.14271E+07,5.86259E+07,
Q3U3I9,ZN865_MOUSE,Znf865,Zinc finger protein 865,3.75441E+07,3.81915E+07,2.58303E+07,4.77271E+07,5.12277E+07,4.46341E+07,4.52778E+07,3.33578E+07,3.89238E+07,4.30738E+07,4.12814E+07,3.71127E+07,
Q8K297,GT251_MOUSE,Colgalt1,Procollagen galactosyltransferase 1,5.98861E+07,7.22808E+07,7.51478E+07,5.44917E+07,5.75401E+07,5.04829E+07,7.17312E+07,6.57788E+07,6.71886E+07,5.91319E+07,6.31275E+07,6.24229E+07,
Q3UG98,NAT9_MOUSE,Nat9,Alpha/beta-tubulin-N-acetyltransferase 9,2.62281E+06,1.83522E+06,2.6515E+06,1.92734E+06,,2.00973E+06,1.24508E+06,1.1176E+06,2.23505E+06,927307,1.54884E+06,1.18254E+06,
P63001,RAC1_MOUSE,Rac1,Ras-related C3 botulinum toxin substrate 1,2.93113E+07,2.15421E+07,2.54989E+07,3.33795E+07,3.84971E+07,3.85158E+07,3.98576E+07,3.03912E+07,3.9198E+07,2.91679E+07,2.9349E+07,2.92868E+07,
Q69ZR2,HECD1_MOUSE,Hectd1,E3 ubiquitin-protein ligase HECTD1,2.05157E+07,1.73758E+07,1.75375E+07,1.69176E+07,1.65137E+07,1.75294E+07,1.8651E+07,1.82506E+07,1.62345E+07,1.7883E+07,1.87223E+07,1.78403E+07,
Q8CHP5,PYM1_MOUSE,Pym1,Partner of Y14 and mago,2.87347E+06,3.62509E+06,3.22576E+06,1.91523E+06,2.75377E+06,2.40288E+06,2.70715E+06,3.82696E+06,2.67713E+06,3.7633E+06,3.16256E+06,2.99446E+06,
Q62418,DBNL_MOUSE,Dbnl,Drebrin-like protein,1.66423E+07,1.67634E+07,1.46955E+07,1.63858E+07,1.62537E+07,1.57334E+07,1.59226E+07,1.53243E+07,1.89364E+07,1.66221E+07,1.76255E+07,1.73744E+07,
Q9R0B9,PLOD2_MOUSE,Plod2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",1.11693E+07,8.27014E+06,9.64887E+06,4.48972E+06,3.74916E+06,3.41494E+06,7.53187E+06,9.72531E+06,8.14356E+06,2.72313E+06,3.00277E+06,2.4493E+06,
Q08943,SSRP1_MOUSE,Ssrp1,FACT complex subunit SSRP1,4.0543E+07,4.20708E+07,4.70517E+07,4.04093E+07,4.10012E+07,4.27555E+07,4.8387E+07,4.48484E+07,4.42301E+07,4.56695E+07,5.29175E+07,5.0963E+07,
Q8R1N0,ZN830_MOUSE,Znf830,Zinc finger protein 830,2.2944E+06,3.06743E+06,2.4648E+06,2.25589E+06,2.5604E+06,2.51481E+06,1.95075E+06,3.21194E+06,2.02541E+06,3.18772E+06,2.70001E+06,3.18658E+06,
