Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
Q9D7N6,RM30_MOUSE,Mrpl30,"39S ribosomal protein L30, mitochondrial",5.69173E+06,6.29099E+06,6.0778E+06,5.44778E+06,1.0331E+07,5.69193E+06,6.54817E+06,7.80202E+06,1.16748E+07,5.16856E+06,8.93927E+06,6.909E+06,
P51912,AAAT_MOUSE,Slc1a5,Neutral amino acid transporter B(0),1.71337E+07,1.96335E+07,2.61532E+07,8.04479E+06,1.6077E+07,1.10168E+07,2.00301E+07,2.2484E+07,2.06066E+07,1.00677E+07,1.06981E+07,1.50373E+07,
Q99KR6,RNF34_MOUSE,Rnf34,E3 ubiquitin-protein ligase RNF34,6.59732E+06,6.86144E+06,6.068E+06,2.73932E+06,,5.47335E+06,7.41922E+06,6.75087E+06,5.49873E+06,4.74198E+06,3.88001E+06,4.0754E+06,
Q8BKN5,GCP5_MOUSE,Tubgcp5,Gamma-tubulin complex component 5,7.75656E+06,1.0478E+07,9.82617E+06,8.43368E+06,,8.73478E+06,1.02476E+07,9.33707E+06,8.28471E+06,6.73705E+06,7.02752E+06,1.15973E+07,
O55187,CBX4_MOUSE,Cbx4,E3 SUMO-protein ligase CBX4,1.02501E+07,1.07961E+07,1.24873E+07,6.7561E+06,,9.13416E+06,1.00322E+07,1.17981E+07,9.69923E+06,8.59251E+06,6.8246E+06,8.08109E+06,
P54728,RD23B_MOUSE,Rad23b,UV excision repair protein RAD23 homolog B,2.20042E+07,1.98295E+07,2.77925E+07,2.38562E+07,2.74044E+07,1.96581E+07,1.90998E+07,2.12663E+07,1.9392E+07,2.28893E+07,2.43178E+07,2.42702E+07,
Q6P8X1,SNX6_MOUSE,Snx6,Sorting nexin-6,1.56304E+07,1.50382E+07,1.63663E+07,1.44582E+07,2.34393E+07,1.48805E+07,1.72254E+07,1.58903E+07,1.54612E+07,1.58836E+07,1.94347E+07,1.67133E+07,
Q8CG50,RAB43_MOUSE,Rab43,Ras-related protein Rab-43,1.59197E+07,1.48113E+07,1.62402E+07,1.71165E+07,,1.50085E+07,1.8812E+07,1.59855E+07,1.6063E+07,9.09851E+06,2.37652E+07,1.63798E+07,
Q9D720,NSE1_MOUSE,Nsmce1,Non-structural maintenance of chromosomes element 1 homolog,1.46056E+07,2.4613E+07,2.21634E+07,1.84102E+07,,3.00604E+07,2.0067E+07,2.24442E+07,3.03608E+07,2.0902E+07,2.91953E+07,2.42296E+07,
O88856,TPST2_MOUSE,Tpst2,Protein-tyrosine sulfotransferase 2,3.93993E+07,3.86582E+07,3.95444E+07,3.14576E+07,2.97265E+07,3.62161E+07,3.93355E+07,4.62493E+07,3.62985E+07,3.63847E+07,3.01222E+07,3.15156E+07,
Q99LE6,ABCF2_MOUSE,Abcf2,ATP-binding cassette sub-family F member 2,5.58655E+07,6.33794E+07,6.59874E+07,3.47183E+07,5.99893E+07,4.89337E+07,7.1559E+07,6.56317E+07,7.25288E+07,5.18006E+07,4.37595E+07,4.99171E+07,
Q9CYC5,DSN1_MOUSE,Dsn1,Kinetochore-associated protein DSN1 homolog,9.4778E+06,8.56258E+06,5.53927E+06,6.57333E+06,6.5335E+06,8.54177E+06,9.04874E+06,9.38207E+06,8.05993E+06,7.63112E+06,8.04685E+06,5.74856E+06,
Q6NXK5,DUS11_MOUSE,Dusp11,RNA/RNP complex-1-interacting phosphatase,1.01757E+07,1.38367E+07,1.23023E+07,7.10858E+06,,1.16663E+07,1.27704E+07,1.50315E+07,1.1685E+07,1.62201E+07,5.55131E+06,7.32639E+06,
Q80YV3,TRRAP_MOUSE,Trrap,Transformation/transcription domain-associated protein,2.05908E+07,2.17338E+07,2.12059E+07,1.87826E+07,2.40006E+07,1.82691E+07,2.2592E+07,2.09226E+07,1.9164E+07,2.17535E+07,2.0658E+07,1.81506E+07,
Q9D8C4,IN35_MOUSE,Ifi35,Interferon-induced 35 kDa protein homolog,1.33733E+07,1.50532E+07,1.78828E+07,1.3758E+07,1.72627E+07,1.23051E+07,1.65843E+07,1.28355E+07,1.38032E+07,1.47375E+07,1.45202E+07,1.44236E+07,
Q61739,ITA6_MOUSE,Itga6,Integrin alpha-6,4.69746E+07,4.28972E+07,5.02314E+07,5.4077E+07,4.988E+07,5.78538E+07,4.92404E+07,5.02543E+07,4.42546E+07,4.59298E+07,4.86012E+07,6.90937E+07,
Q64310,SURF4_MOUSE,Surf4,Surfeit locus protein 4,1.19441E+06,2.28624E+06,2.55654E+06,2.61638E+06,,2.888E+06,6.55707E+06,4.96648E+06,5.05552E+06,3.70832E+06,1.73262E+06,2.67615E+06,
Q91Z38,TTC1_MOUSE,Ttc1,Tetratricopeptide repeat protein 1,3.35793E+07,2.5716E+07,4.08155E+07,2.53882E+07,3.63736E+07,3.24606E+07,3.06374E+07,3.2501E+07,3.29323E+07,3.20358E+07,3.16891E+07,2.97138E+07,
O55222,ILK_MOUSE,Ilk,Integrin-linked protein kinase,3.1147E+07,3.8255E+07,2.89091E+07,2.88383E+07,3.50565E+07,4.06662E+07,3.81794E+07,3.46671E+07,4.04985E+07,3.35748E+07,2.96465E+07,4.24973E+07,
Q9CY21,BUD23_MOUSE,Bud23,Probable 18S rRNA (guanine-N(7))-methyltransferase,4.3597E+06,6.63473E+06,6.42336E+06,3.38891E+06,,3.55143E+06,6.88965E+06,5.90635E+06,5.23918E+06,5.33995E+06,,1.90579E+06,
Q8CIE2,ZMIZ2_MOUSE,Zmiz2,Zinc finger MIZ domain-containing protein 2,4.2469E+06,6.8874E+06,4.66905E+06,6.44013E+06,,3.90132E+06,6.15076E+06,5.31967E+06,6.30455E+06,4.11158E+06,,6.5066E+06,
Q9ERZ0,HEMGN_MOUSE,Hemgn,Hemogen,1.47636E+07,1.52515E+07,1.766E+07,2.91796E+07,2.38967E+07,2.20922E+07,1.63789E+07,1.64177E+07,1.57424E+07,2.92703E+07,2.71168E+07,1.78521E+07,
B2RXS4,PLXB2_MOUSE,Plxnb2,Plexin-B2,1.99129E+07,1.8111E+07,1.85792E+07,1.52823E+07,2.12414E+07,1.49051E+07,2.09201E+07,1.99263E+07,2.29272E+07,1.57897E+07,1.00558E+07,2.6812E+07,
Q9Z183,PADI4_MOUSE,Padi4,Protein-arginine deiminase type-4,8.5007E+07,9.07407E+07,9.76645E+07,8.33849E+07,1.13411E+08,7.14353E+07,9.08968E+07,1.14076E+08,9.3332E+07,1.1799E+08,6.92142E+07,8.52782E+07,
Q9D620,RFIP1_MOUSE,Rab11fip1,Rab11 family-interacting protein 1,6.89988E+06,7.28492E+06,7.8708E+06,5.90589E+06,9.38499E+06,6.0031E+06,6.68541E+06,7.59187E+06,7.89E+06,7.98054E+06,4.7692E+06,8.92376E+06,
P52482,UB2E1_MOUSE,Ube2e1,Ubiquitin-conjugating enzyme E2 E1,2.01084E+07,1.96632E+07,1.84589E+07,1.5107E+07,1.14172E+07,1.44603E+07,1.91433E+07,1.89209E+07,1.58155E+07,1.34924E+07,1.33674E+07,1.38546E+07,
Q9QVP9,FAK2_MOUSE,Ptk2b,Protein-tyrosine kinase 2-beta,2.02533E+07,2.04576E+07,2.05708E+07,1.70362E+07,2.45001E+07,2.0703E+07,2.29841E+07,1.88919E+07,2.07398E+07,1.95178E+07,1.72129E+07,2.48146E+07,
Q9JKN1,ZNT7_MOUSE,Slc30a7,Zinc transporter 7,2.72389E+07,2.23522E+07,2.17606E+07,3.04762E+07,,2.5483E+07,2.59639E+07,2.3674E+07,2.17269E+07,2.25127E+07,3.39351E+07,2.65473E+07,
O88512,AP1G2_MOUSE,Ap1g2,AP-1 complex subunit gamma-like 2,1.97544E+07,2.25517E+07,2.90741E+07,1.92751E+07,1.79081E+07,2.79565E+07,3.08712E+07,3.03521E+07,2.67129E+07,1.94099E+07,2.02426E+07,2.6342E+07,
Q9WVS7,MP2K5_MOUSE,Map2k5,Dual specificity mitogen-activated protein kinase kinase 5,1.52725E+07,1.33032E+07,1.67729E+07,1.49281E+07,,1.86425E+07,2.04326E+07,1.35377E+07,1.18361E+07,2.26673E+07,1.07069E+07,1.78744E+07,
P47968,RPIA_MOUSE,Rpia,Ribose-5-phosphate isomerase,2.93821E+07,3.75535E+07,4.44251E+07,4.61494E+07,2.99558E+07,4.88344E+07,3.8074E+07,3.79544E+07,3.20669E+07,5.06232E+07,4.49837E+07,3.11582E+07,
O88696,CLPP_MOUSE,Clpp,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",1.98794E+07,2.87474E+07,2.73577E+07,2.89416E+07,3.5967E+07,2.52878E+07,2.86685E+07,2.15534E+07,1.83302E+07,3.0863E+07,2.76613E+07,3.24467E+07,
Q9CRA0,NAR4_MOUSE,Art4,Ecto-ADP-ribosyltransferase 4,6.08452E+06,8.97164E+06,7.56915E+06,8.76701E+06,1.37619E+07,2.0272E+07,6.05663E+06,5.38243E+06,6.4358E+06,5.93167E+06,9.67621E+06,2.89644E+07,
Q9CQC7,NDUB4_MOUSE,Ndufb4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,1.08492E+07,9.41945E+06,1.3872E+07,1.18859E+07,1.43878E+07,1.43873E+07,1.08469E+07,1.29166E+07,1.00342E+07,1.54875E+07,1.36037E+07,1.12414E+07,
Q08509,EPS8_MOUSE,Eps8,Epidermal growth factor receptor kinase substrate 8,1.30679E+07,1.29696E+07,1.75111E+07,1.12926E+07,1.41368E+07,1.0638E+07,1.45972E+07,1.57572E+07,1.40334E+07,1.5191E+07,8.76092E+06,1.25952E+07,
Q91YQ1,RAB7L_MOUSE,Rab29,Ras-related protein Rab-7L1,1.7539E+07,1.74926E+07,2.12736E+07,2.09053E+07,2.06716E+07,2.27163E+07,1.84886E+07,2.28175E+07,1.81938E+07,1.77598E+07,2.35296E+07,2.25726E+07,
P13597,ICAM1_MOUSE,Icam1,Intercellular adhesion molecule 1,7.74638E+06,5.20786E+06,7.29803E+06,2.38913E+07,1.71997E+07,1.65712E+07,7.70382E+06,8.75602E+06,8.69682E+06,1.97952E+07,1.44169E+07,2.27185E+07,
